"date","pd","time","team","g_id","g_last","g_first","a1_id","a1_last","a1_first","a2_id","a2_last","a2_first"
"2017-03-24","2","9:18","NYI",5199,"Lee","Anders",4527,"Bailey","Joshua",4680,"Tavares","John"
"2017-03-24","2","13:41","PIT",3490,"Crosby","Sidney",5209,"Ruhwedel","Chad",5892,"Sheary","Conor"
"2017-03-24","2","19:55","NYI",5083,"Cizikas","Casey",4680,"Tavares","John",NA,NA,NA
"2017-03-24","3","13:50","PIT",257,"Cullen","Matt",4953,"Gaunce","Cameron",4008,"Kessel","Phil"
"2017-03-26","1","4:31","PIT",257,"Cullen","Matt",898,"Kunitz","Chris",4523,"Hornqvist","Patric"
"2017-03-26","1","19:05","PHI",5831,"Weal","Jordan",4695,"Del Zotto","Michael",5440,"Gostisbehere","Shayne"
"2017-03-26","2","12:49","PHI",3813,"Filppula","Valtteri",5831,"Weal","Jordan",5087,"Manning","Brandon"
"2017-03-26","3","1:11","PHI",4851,"Weise","Dale",5619,"Konecny","Travis",4995,"Couturier","Sean"
"2017-03-26","3","8:41","PHI",4497,"Voracek","Jakub",5005,"Read","Matt",4394,"Giroux","Claude"
"2017-03-26","3","13:36","PIT",4523,"Hornqvist","Patric",5315,"Warsofsky","David",4905,"Cole","Ian"
"2017-03-26","3","17:31","PHI",5185,"Gudas","Radko",4394,"Giroux","Claude",NA,NA,NA
"2017-03-26","3","18:58","PHI",5440,"Gostisbehere","Shayne",4712,"Schenn","Brayden",NA,NA,NA
"2017-03-29","1","3:23","CHI",5811,"Panarin","Artemi",4265,"Kane","Patrick",5846,"Kero","Tanner"
"2017-03-29","1","14:39","CHI",5167,"Panik","Richard",10071,"Schmaltz","Nick",4262,"Toews","Jonathan"
"2017-03-29","1","19:05","CHI",4823,"Kruger","Marcus",4265,"Kane","Patrick",5811,"Panarin","Artemi"
"2017-03-29","1","19:44","CHI",219,"Hossa","Marian",5522,"Hartman","Ryan",NA,NA,NA
"2017-03-29","3","3:32","CHI",5846,"Kero","Tanner",NA,NA,NA,NA,NA,NA
"2017-03-29","3","5:46","PIT",5500,"Rust","Bryan",4905,"Cole","Ian",257,"Cullen","Matt"
"2017-03-31","2","0:39","PIT",11327,"Guentzel","Jake",3490,"Crosby","Sidney",4008,"Kessel","Phil"
"2017-03-31","2","10:46","PIT",3490,"Crosby","Sidney",5892,"Sheary","Conor",203,"Hainsey","Ron"
"2017-03-31","2","19:33","NYR",4664,"Holden","Nick",NA,NA,NA,NA,NA,NA
"2017-03-31","3","6:46","PIT",5500,"Rust","Bryan",4905,"Cole","Ian",NA,NA,NA
"2017-03-31","3","8:50","NYR",319,"Nash","Rick",5161,"Miller","J.T.",4223,"Girardi","Daniel"
"2017-03-31","3","19:48","NYR",5104,"Kreider","Chris",5161,"Miller","J.T.",4664,"Holden","Nick"
"2017-04-02","1","11:28","PIT",11327,"Guentzel","Jake",5209,"Ruhwedel","Chad",4775,"Bonino","Nick"
"2017-04-02","1","13:21","CAR",4876,"Skinner","Jeff",5260,"Lindholm","Elias",11727,"Wallmark","Lucas"
"2017-04-02","2","7:50","PIT",5492,"Wilson","Scott",11710,"Rowney","Carter",NA,NA,NA
"2017-04-02","3","5:07","PIT",5892,"Sheary","Conor",4523,"Hornqvist","Patric",4008,"Kessel","Phil"
"2017-04-02","3","9:38","CAR",5009,"Faulk","Justin",5630,"Aho","Sebastian",5260,"Lindholm","Elias"
"2017-04-04","1","18:51","PIT",11710,"Rowney","Carter",5492,"Wilson","Scott",NA,NA,NA
"2017-04-04","2","9:26","PIT",4523,"Hornqvist","Patric",5907,"Kuhnhackl","Tom",NA,NA,NA
"2017-04-04","2","12:30","PIT",5310,"Dumoulin","Brian",11327,"Guentzel","Jake",3490,"Crosby","Sidney"
"2017-04-04","3","0:33","PIT",11327,"Guentzel","Jake",5118,"Schultz","Justin",3490,"Crosby","Sidney"
"2017-04-04","3","10:20","CBJ",4245,"Dubinsky","Brandon",NA,NA,NA,NA,NA,NA
"2017-04-06","1","4:59","NJD",5544,"Noesen","Stefan",5169,"Bennett","Beau",4893,"Josefson","Jacob"
"2017-04-06","1","14:24","PIT",5500,"Rust","Bryan",4775,"Bonino","Nick",NA,NA,NA
"2017-04-06","1","17:07","PIT",11327,"Guentzel","Jake",4775,"Bonino","Nick",5118,"Schultz","Justin"
"2017-04-06","2","0:10","NJD",4959,"Moore","John",4796,"Palmieri","Kyle",4983,"Henrique","Adam"
"2017-04-06","2","2:09","PIT",5929,"Archibald","Josh",5492,"Wilson","Scott",11710,"Rowney","Carter"
"2017-04-06","2","3:05","PIT",5892,"Sheary","Conor",3490,"Crosby","Sidney",11327,"Guentzel","Jake"
"2017-04-06","2","5:34","NJD",4846,"Hall","Taylor",4218,"Greene","Andy",4032,"Zajac","Travis"
"2017-04-06","2","7:45","PIT",4523,"Hornqvist","Patric",4008,"Kessel","Phil",3490,"Crosby","Sidney"
"2017-04-06","2","18:36","NJD",4796,"Palmieri","Kyle",4032,"Zajac","Travis",NA,NA,NA
"2017-04-06","3","1:56","PIT",257,"Cullen","Matt",5907,"Kuhnhackl","Tom",203,"Hainsey","Ron"
"2017-04-06","3","16:53","PIT",4775,"Bonino","Nick",5310,"Dumoulin","Brian",5209,"Ruhwedel","Chad"
"2017-04-08","1","6:11","PIT",4008,"Kessel","Phil",257,"Cullen","Matt",5907,"Kuhnhackl","Tom"
"2017-04-08","1","6:40","TOR",4683,"van Riemsdyk","James",4686,"Bozak","Tyler",4052,"Polak","Roman"
"2017-04-08","2","3:30","TOR",4686,"Bozak","Tyler",5418,"Nylander","William",5006,"Gardiner","Jake"
"2017-04-08","2","7:55","PIT",3490,"Crosby","Sidney",11327,"Guentzel","Jake",5118,"Schultz","Justin"
"2017-04-08","3","6:51","PIT",11327,"Guentzel","Jake",NA,NA,NA,NA,NA,NA
"2017-04-08","3","14:30","TOR",5428,"Kapanen","Kasperi",4331,"Hunwick","Matt",9627,"Matthews","Auston"
"2017-04-08","3","17:12","TOR",8916,"Brown","Connor",5006,"Gardiner","Jake",4331,"Hunwick","Matt"
"2017-04-08","3","19:56","TOR",9627,"Matthews","Auston",NA,NA,NA,NA,NA,NA
"2017-04-09","1","9:16","PIT",4775,"Bonino","Nick",5732,"Simon","Dominik",4008,"Kessel","Phil"
"2017-04-09","1","13:54","NYR",4852,"McDonagh","Ryan",4688,"Grabner","Michael",NA,NA,NA
"2017-04-09","1","18:31","NYR",4885,"Stepan","Derek",4852,"McDonagh","Ryan",5000,"Zibanejad","Mika"
"2017-04-09","2","13:38","PIT",11710,"Rowney","Carter",NA,NA,NA,NA,NA,NA
"2017-04-09","3","7:23","NYR",10062,"Vesey","Jimmy",5000,"Zibanejad","Mika",NA,NA,NA
